template,id,syntax,fp_status,signal,live_match_count,live_example,evidence,action
utils/nuclei/templates/discover/application/industrialcontrolsystem/advantech-webaccess-scada.yaml,advantech-webaccess-scada-detect,valid,PASS,LIVE_TP,2/12,http://153.142.33.8:80/broadWeb/bwRoot.asp?username=admin,Focused query matched Advantech/BroadWeb markers.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/aveva-edge.yaml,aveva-edge-detect,valid,PASS,LIVE_TP,>=1,http://68.204.141.156:8080,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/aveva-intouch-access-anywhere.yaml,aveva-intouch-access-anywhere-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/aveva-plant-scada.yaml,aveva-plant-scada-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/codesys-webvisu.yaml,codesys-webvisu-detect,valid,PASS,LIVE_TP,4/12,http://62.100.148.187:8080,Focused query matched CODESYS WebVisu markers.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/ge-proficy-cimplicity.yaml,ge-proficy-cimplicity-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/ge-proficy-ifix.yaml,ge-proficy-ifix-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/ge-proficy-webspace.yaml,ge-proficy-webspace-detect,valid,PASS,LIVE_TP,5/12,http://213.147.102.156:491,Focused query matched Proficy WebSpace markers.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/iconics-genesis64.yaml,iconics-genesis64-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/iconics-hyper-historian.yaml,iconics-hyper-historian-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/iconics-mobilehmi.yaml,iconics-mobilehmi-detect,valid,PASS,LIVE_TP,>=1,https://98.66.249.54:443/MobileHMI/,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/inductive-automation-ignition-gateway.yaml,inductive-automation-ignition-gateway-detect,valid,PASS,LIVE_TP,8/8,http://47.250.157.145:3689/system/gwinfo,"Patched to match live /system/gwinfo evidence: ContextStatus, GatewayAddress, PlatformName=Ignition.",keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/mitsubishi-mc-works64.yaml,mitsubishi-mc-works64-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/rockwell-factorytalk-services-platform.yaml,rockwell-factorytalk-services-platform-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/rockwell-factorytalk-view-se.yaml,rockwell-factorytalk-view-se-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/rockwell-factorytalk-viewpoint.yaml,rockwell-factorytalk-viewpoint-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/schneider-modicon-web.yaml,schneider-modicon-web-detect,valid,PASS,LIVE_TP,>=1,http://147.182.234.54:80,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/schneider-power-monitoring-expert.yaml,schneider-power-monitoring-expert-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/schneider-power-operation.yaml,schneider-power-operation-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/siemens-pcs7-web.yaml,siemens-pcs7-web-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/industrialcontrolsystem/siemens-simatic-hmi-web.yaml,siemens-simatic-hmi-web-detect,valid,PASS,LIVE_TP,8/12,http://91.182.72.61:8080,Focused query matched Siemens SIMATIC HMI title marker.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/siemens-simatic-wincc.yaml,siemens-simatic-wincc-detect,valid,PASS,LIVE_TP,>=4,http://212.62.96.67:80,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/siemens-wincc-unified.yaml,siemens-wincc-unified-detect,valid,PASS,NOISY_CANDIDATES_NO_LIVE_TP,0/12,,"12 candidates inspected; fetched titles were unrelated products such as Netcore, AVAYA, ZyWALL, Ivanti, GlobalProtect, WordPress, and PaperCut. Treat as Shodan noise/no live TP, not a proven template failure.",needs real target or vendor fixture; do not loosen matcher based on noisy Shodan hits
utils/nuclei/templates/discover/application/industrialcontrolsystem/tridium-niagara-bms-console.yaml,tridium-niagara-bms-console-detect,valid,PASS,LIVE_TP,>=2,http://23.239.4.55:80,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/industrialcontrolsystem/wonderware-system-platform-web.yaml,wonderware-system-platform-web-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/networkedgeapplication/check-point-mobile-access.yaml,check-point-mobile-access-detect,valid,PASS,LIVE_TP,>=5,https://112.175.151.212:443/sslvpn/Login/Login,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkedgeapplication/cisco-asa-webvpn.yaml,cisco-asa-webvpn-detect,valid,PASS,LIVE_TP,>=5,http://89.167.72.144:3541/+CSCOE+/logon.html,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkedgeapplication/citrix-gateway-edge.yaml,citrix-gateway-edge-detect,valid,PASS,LIVE_TP,>=4,https://129.255.97.11:443/logon/LogonPoint/index.html,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkedgeapplication/f5-bigip-apm.yaml,f5-bigip-apm-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/networkedgeapplication/fortinet-fortigate-sslvpn.yaml,fortinet-fortigate-sslvpn-detect,valid,PASS,LIVE_TP,9/12,http://3.137.185.136:80,Focused query matched FortiGate SSL-VPN markers.,keep template
utils/nuclei/templates/discover/application/networkedgeapplication/ivanti-connect-secure.yaml,ivanti-connect-secure-detect,valid,PASS,LIVE_TP,>=5,http://13.112.188.95:8043,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkedgeapplication/palo-alto-globalprotect.yaml,palo-alto-globalprotect-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/networkedgeapplication/sonicwall-sma.yaml,sonicwall-sma-detect,valid,PASS,LIVE_TP,>=5,https://168.93.175.91:8443/login.action;jsessionid=node01eh0h23bsgkg8g2ndrq9s5xq515596.node0,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkedgeapplication/zscaler-private-access.yaml,zscaler-private-access-detect,valid,PASS,LIVE_TP,>=4,http://165.155.150.245:80,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/aruba-instant.yaml,aruba-instant-detect,valid,PASS,LIVE_TP,12/12,http://108.253.173.43:8080,Focused query matched Aruba Instant markers.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/asuswrt-router-web-ui.yaml,asuswrt-router-web-ui-detect,valid,PASS,LIVE_TP,1/12,http://16.174.30.70:49686/chat,"Focused query produced one live match; low confidence because candidate path was unusual, but matcher fired on ASUSWRT-specific content.",keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/cisco-ios-xe-web-ui.yaml,cisco-ios-xe-web-ui-detect,valid,PASS,LIVE_TP,>=1,https://130.110.110.65:443,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/dlink-router-web-ui.yaml,dlink-router-web-ui-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/networkmanagementsystem/draytek-vigor-web-ui.yaml,draytek-vigor-web-ui-detect,valid,PASS,LIVE_TP,>=5,https://185.93.27.59:444/weblogin.htm,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/juniper-jweb.yaml,juniper-jweb-detect,valid,PASS,LIVE_TP,>=4,https://115.244.255.86:443,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/mikrotik-routeros-webfig.yaml,mikrotik-routeros-webfig-detect,valid,PASS,LIVE_TP,>=3,http://45.226.207.110:8090/webfig/,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/netgear-network-management.yaml,netgear-network-management-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/networkmanagementsystem/ruckus-wireless-management.yaml,ruckus-wireless-management-detect,valid,PASS,LIVE_TP,12/12,https://177.92.82.99:2376/admin/login.jsp,Focused query matched Ruckus wireless management markers.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/tenda-router-web-ui.yaml,tenda-router-web-ui-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/networkmanagementsystem/totolink-router-web-ui.yaml,totolink-router-web-ui-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/networkmanagementsystem/tp-link-omada-controller.yaml,tp-link-omada-controller-detect,valid,PASS,LIVE_TP,>=1,http://82.96.173.139:8080,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/networkmanagementsystem/ubiquiti-unifi-network.yaml,ubiquiti-unifi-network-detect,valid,PASS,SHODAN_GAP_NO_LIVE_TP,0,,Shodan did not return usable candidates for the generated queries. This is not evidence that the template is bad.,"needs stronger query, vendor fixture, or known deployment to prove TP"
utils/nuclei/templates/discover/application/outofbandapplication/generic-redfish.yaml,generic-redfish-detect,valid,PASS,LIVE_TP,>=5,http://1.94.132.43:3098/redfish/v1/,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/outofbandapplication/hpe-ilo.yaml,hpe-ilo-detect,valid,PASS,LIVE_TP_FIXED_FP,5/5,,Fixed FP and reconfirmed 5/5 live Shodan candidates.,keep fixed template
utils/nuclei/templates/discover/application/secretmanagementapplication/vault.yaml,vault-detect,valid,PASS,LIVE_TP,>=5,http://195.154.75.231:8200/v1/sys/health,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/vdiapplication/apache-guacamole.yaml,apache-guacamole-detect,valid,PASS,LIVE_TP,>=2,http://216.158.238.125:8080,Original Shodan validation produced at least one live match.,keep template
utils/nuclei/templates/discover/application/vdiapplication/citrix-storefront.yaml,citrix-storefront-detect,valid,PASS,LIVE_TP,>=2,https://206.210.162.128:443,Original Shodan validation produced at least one live match.,keep template
